cd_Ugestora;dt_Ano;de_Ugestora;ELEITO;class;n.dispensas
201087;2009;IMACULADA;JOSE RIBAMAR DA SILVA;Julgados;0
201087;2009;IMACULADA;JOSE RIBAMAR DA SILVA;Julgados;0
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201087;2013;IMACULADA;ALDO LUSTOSA DA SILVA;Julgados;10
201089;2009;ITABAIANA;EURIDICE MOREIRA DA SILVA;NÃo julgados;14
201089;2013;ITABAIANA;ANTONIO CARLOS RODRIGUES DE MELO JUNIOR;Julgados;53
201089;2013;ITABAIANA;ANTONIO CARLOS RODRIGUES DE MELO JUNIOR;Julgados;53
201090;2009;ITAPORANGA;DJACI FARIAS BRASILEIRO;NÃo julgados;2
201090;2013;ITAPORANGA;AUDIBERG ALVES DE CARVALHO;NÃo julgados;65
201091;2009;ITAPOROROCA;CELSO DE MORAIS ANDRADE NETO;Julgados;2
201091;2009;ITAPOROROCA;CELSO DE MORAIS ANDRADE NETO;Julgados;2
201092;2009;ITATUBA;RENATO LACERDA MARTINS;Julgados;13
201092;2009;ITATUBA;RENATO LACERDA MARTINS;Julgados;13
201092;2009;ITATUBA;RENATO LACERDA MARTINS;Julgados;13
201092;2009;ITATUBA;RENATO LACERDA MARTINS;Julgados;13
201092;2009;ITATUBA;RENATO LACERDA MARTINS;Julgados;13
201092;2009;ITATUBA;RENATO LACERDA MARTINS;Julgados;13
201092;2009;ITATUBA;RENATO LACERDA MARTINS;Julgados;13
201092;2009;ITATUBA;RENATO LACERDA MARTINS;Julgados;13
201092;2013;ITATUBA;ARON RENE MARTINS DE ANDRADE;Julgados;27
201092;2013;ITATUBA;ARON RENE MARTINS DE ANDRADE;Julgados;27
201092;2013;ITATUBA;ARON RENE MARTINS DE ANDRADE;Julgados;27
201092;2013;ITATUBA;ARON RENE MARTINS DE ANDRADE;Julgados;27
201097;2009;JUAZEIRINHO;BEVILACQUA MATIAS MARACAJA;Julgados;6
201097;2009;JUAZEIRINHO;BEVILACQUA MATIAS MARACAJA;Julgados;6
201097;2009;JUAZEIRINHO;BEVILACQUA MATIAS MARACAJA;Julgados;6
201097;2009;JUAZEIRINHO;BEVILACQUA MATIAS MARACAJA;Julgados;6
201097;2009;JUAZEIRINHO;BEVILACQUA MATIAS MARACAJA;Julgados;6
201097;2009;JUAZEIRINHO;BEVILACQUA MATIAS MARACAJA;Julgados;6
201097;2013;JUAZEIRINHO;CARLEUSA CASTRO MARQUES DE OLIVEIRA RAULINO;NÃo julgados;13
201099;2009;JURIPIRANGA;ANTONIO MAROJA GUEDES FILHO;Julgados;16
201099;2013;JURIPIRANGA;PAULO DALIA TEIXEIRA;NÃo julgados;84
201100;2009;JURU;JOSE ORLANDO TEOTONIO;Julgados;2
201100;2009;JURU;JOSE ORLANDO TEOTONIO;Julgados;2
201100;2009;JURU;JOSE ORLANDO TEOTONIO;Julgados;2
201100;2013;JURU;LUIZ GALVAO DA SILVA;Julgados;13
201100;2013;JURU;LUIZ GALVAO DA SILVA;Julgados;13
201100;2013;JURU;LUIZ GALVAO DA SILVA;Julgados;13
201100;2013;JURU;LUIZ GALVAO DA SILVA;Julgados;13
201100;2013;JURU;LUIZ GALVAO DA SILVA;Julgados;13
201100;2013;JURU;LUIZ GALVAO DA SILVA;Julgados;13
201101;2009;LAGOA;MAGNO DEMYS DE OLIVEIRA BORGES;Julgados;3
201101;2009;LAGOA;MAGNO DEMYS DE OLIVEIRA BORGES;Julgados;3
201101;2009;LAGOA;MAGNO DEMYS DE OLIVEIRA BORGES;Julgados;3
201101;2013;LAGOA;MAGNO DEMYS DE OLIVEIRA BORGES;Julgados;14
201101;2013;LAGOA;MAGNO DEMYS DE OLIVEIRA BORGES;Julgados;14
201101;2013;LAGOA;MAGNO DEMYS DE OLIVEIRA BORGES;Julgados;14
201101;2013;LAGOA;MAGNO DEMYS DE OLIVEIRA BORGES;Julgados;14
201102;2009;LAGOA DE DENTRO;SUELI MADRUGA FREIRE;Julgados;8
201102;2009;LAGOA DE DENTRO;SUELI MADRUGA FREIRE;Julgados;8
201102;2013;LAGOA DE DENTRO;FABIANO PEDRO DA SILVA;NÃo julgados;47
201103;2009;LAGOA SECA;EDVARDO HERCULANO DE LIMA;Julgados;5
201103;2009;LAGOA SECA;EDVARDO HERCULANO DE LIMA;Julgados;5
201103;2013;LAGOA SECA;JOSE TADEU SALES DE LUNA;NÃo julgados;26
201104;2009;LASTRO;JOSE VIVALDO DINIZ;Julgados;13
